Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px
ThinONL1.png	19377cb5-c72d-4f83-b342-6b652d7816b4	Detection			ThinONL1	Ellipse	97.5	320.5
ThinONL1.png	8407c19c-46f5-4e94-ac92-93d133671a45	Detection			ThinONL1	Ellipse	0.5	305.5
ThinONL1.png	86e49032-e56f-4031-98aa-561b53fd035c	Detection			ThinONL1	Ellipse	15.5	302.5
ThinONL1.png	526a5eac-3a42-4e08-a854-a810e6b1edd4	Detection			ThinONL1	Ellipse	37.5	298.5
ThinONL1.png	40daffa5-b8e2-4549-b25c-b88044c24577	Detection			ThinONL1	Ellipse	54.5	296.5
ThinONL1.png	1b35a43f-41e6-4079-9b7b-ac70930705c1	Detection			ThinONL1	Ellipse	86.5	295.5
ThinONL1.png	5a919016-6163-4193-8589-b2a3fd7fd441	Detection			ThinONL1	Ellipse	104.5	288.5
ThinONL1.png	fb90f045-f903-47ac-b521-c807bdb00729	Detection			ThinONL1	Ellipse	74.5	287.5
ThinONL1.png	150bceec-a6f5-468a-b368-beaf843798cc	Detection			ThinONL1	Ellipse	0.5	287.5
ThinONL1.png	a05b6ac8-77b4-4426-91ba-d14a2c6848d4	Detection			ThinONL1	Ellipse	124.5	278.5
ThinONL1.png	2cc7a552-7867-498b-b63c-0fbeeb7d4919	Detection			ThinONL1	Ellipse	46.5	278.5
ThinONL1.png	744e0b38-842a-4cdd-82ae-875996a32706	Detection			ThinONL1	Ellipse	30.5	277.5
ThinONL1.png	d6d261d4-cfd1-40f3-ba55-3eac86d2f180	Detection			ThinONL1	Ellipse	172.5	276.5
ThinONL1.png	42dc053f-ad77-47b4-9c8a-cc244c43d812	Detection			ThinONL1	Ellipse	16.5	276.5
ThinONL1.png	8064c74c-4094-47d0-8306-90934b9e2118	Detection			ThinONL1	Ellipse	88.5	273.5
ThinONL1.png	49b3b43e-cfc1-458b-a3dc-8af25d316aa8	Detection			ThinONL1	Ellipse	240.5	271.5
ThinONL1.png	91774ffe-dbbd-46ca-a334-c197765e9b87	Detection			ThinONL1	Ellipse	228.5	271.5
ThinONL1.png	a0a8c7ab-7395-46c8-a4c9-2b8b885ba5cb	Detection			ThinONL1	Ellipse	145.5	271.5
ThinONL1.png	7e9e5dce-f633-4a04-9ada-492942bc8e4e	Detection			ThinONL1	Ellipse	63.5	271.5
ThinONL1.png	dd54c758-c95a-4fc0-9638-29431504c87e	Detection			ThinONL1	Ellipse	264.5	270.5
ThinONL1.png	9eaf8c6e-12c8-47ba-b9f4-bd3e73b5ba4d	Detection			ThinONL1	Ellipse	188.5	270.5
ThinONL1.png	1cc75d61-5667-414b-af96-e15b821f7fa2	Detection			ThinONL1	Ellipse	111.5	269.5
ThinONL1.png	9cb84620-3f1b-475c-9880-efdeda417f37	Detection			ThinONL1	Ellipse	235.5	267.5
ThinONL1.png	e93e172f-9644-45b5-a3c2-18956eae7e32	Detection			ThinONL1	Ellipse	206.5	266.5
ThinONL1.png	b110696f-e51d-4845-ac29-ae522da29b8c	Detection			ThinONL1	Ellipse	94.5	266.5
ThinONL1.png	44ed994f-c739-41bc-aa93-209e1e57b2e7	Detection			ThinONL1	Ellipse	260.5	264.5
ThinONL1.png	b36c3d08-3bbe-4700-a2a2-fcc34241d30a	Detection			ThinONL1	Ellipse	280.5	262.5
ThinONL1.png	fde25718-6bc7-46de-88b2-eae768e429e6	Detection			ThinONL1	Ellipse	157.5	261.5
ThinONL1.png	80ced27d-e1d9-4707-a0c0-7653ceaecc2e	Detection			ThinONL1	Ellipse	127.5	260.5
ThinONL1.png	253a1b1e-9a9e-491e-aa63-72a232c78c07	Detection			ThinONL1	Ellipse	382.5	256.5
